"title_list","star_list","txt_list"
"sjungeun","평점5점","너무나 유명한데 이제서야 읽었네요."
"danmuzzy","평점5점","영화보다 훨씬 좋습니다"
"dnthfk","평점4점","재밌습니다만 막판에는 좀 지루하네요"
"뫌","평점5점","좋아요"
"코가긴코끼리","평점5점","강추!!"
"파랑아키","평점5점","오영제에 대해 좀 더 죄값이 내려졌으면..."
"dmsduddl89","평점5점","빠른전개에 단숨에 다읽어버린 소설.. 강추"
"래뒤오구구","평점5점","믿고 읽는 정유정! 신간도 올해 나온다는데 기대합니다^-^"
"혜림파파","평점5점","재미있게 잘 보았습니다. 감사합니다."
"일상다반사","평점5점","구매완료~잘 읽겠습니다~"
"그리고또","평점5점","몰입도 가독성에 빠른 전개에 정신없이 달린 기분이다. 인물들에게 연민이...ㅠ"
"ulovech","평점5점","스릴 넘치고 너무 재밌어요!"
"나츠키","평점5점","재밌어요."
"어벤져스","평점5점","빠른 전개가 맘에 들어요  영화는 .....아쉬움"
"책먹는 꿀벌","평점5점","흥미진진했어요"
"봄날","평점5점","다 읽고 난 느낌... 가슴이 먹먹했어요."
"k0680jj","평점5점","재미있어요"
"snic","평점5점","영화가 원작 모독 수준의 개판이라는 소문을 듣고 궁금해서 읽어 봅니다"
"Bucky","평점5점","영화보고 구입했어요 서점에서.. 잘봤어요"
"hkpama2","평점5점","너무 철저하고 치밀해 잡은 책을 덮을 수 없다."
"hj840928","평점4점","종의 기원을 먼저 읽고 읽은건데 역시 몰입도가 좋네요."
"wjdabcehd","평점4점","용의 머리와 용의 꼬리. 최고의 시작과 최고의 끝을 보았습니다."
"자클럽","평점3점","내용이 너무 어둡지만...그래도 시간가는줄 모르고 읽은 책입니다."
"순이","평점3점","작가가 말하는 '그러나'와 지키고싶은 '무엇'에 관해서는 '예스'라고 못 말하겠다."
"블루베리","평점4점","시간가는줄 모르고 읽었습니다."
"pms8200","평점5점","영화를 재미있게 봐서 읽게되었습니다"
"komenge","평점5점","이북으로 구매해서 읽기 시작했습니다. 아직 도입부이긴 하지만 흥미진진하네요. 재밋을거같아요"
"gk4ftw6","평점5점","좋습니다."
"gk4ftw6","평점5점","좋습니다."
"잠탱이","평점5점","좋아요"
"jah7946","평점4점","영화 보기전 예습!!"
"블루미","평점5점","영화보고 원작도 보고 싶어서 구매~"
"eksong95","평점4점","친구추천으로 샀는데 몰입도가 굉장하네요
영화도보고 싶네요"
"blue","평점5점","영화 줄거리를 보고 호기심에 사게 되었어요. 넘 기대되요~"
"맘마쓰몬","평점5점","지금 읽는 중. 몰입갑 뛰어난데 좀 괴롭다.ㅠ"
"lucy6813","평점5점","몰입력이 굉장히 뛰어난 책입니다 추천합니다!!"
"ukally","평점4점","역시 너무재미있어요"
"수지니","평점5점","책을 읽고 난후에도 여운이 오래갔죠"
"별이달이","평점5점","영화가 나왔길래 내용이 궁금해서 구입했어요~"
"think","평점5점","굿"
"아쌋구로","평점5점","재미있습니다."
"dygks48","평점4점","조마조마하며 푹빠져 읽었네요"
"skyhyun394","평점4점","스토리가 너무 재미있게 진행되어서  소설속으로
빠져들게 만들었어오"
"새벽","평점5점","한 번 시작하면 손에서 놓지 못할 정도로 재미짐"
"독서광ㅎㅎㅎ","평점3점","스릴있네요"
"sjs97324","평점5점","너무너무 재밌게 잘봤어요. 작가님책 찾아보기합니다~♡"
"izzal2000","평점4점","너무 방대한 분량에, 읽기 힘들었어요 ㅋㅋ."
"uj7564","평점5점","영화 개봉되기 전부터 읽고싶던 책이라 구매해서 읽었어요"
"ghdiek","평점4점","재미있게 봤어요 덕분에 자는 시간이 늦어질 정도로"
"gk4ftw6","평점5점","기대됩니다."
"신통한다이어리","평점5점","다들 몰입도 최고라고 하는데, 난 몰입도 중."
"kjo31061","평점5점","스토리가 빨려들어간다~재밌고 스릴넘치는 소설"
"kcmoon73","평점5점","한번 더 읽어 봅니다"
"책읽냐옹","평점4점","몰입도 최고!"
"어벤져스","평점5점","스릴이 넘침"
"wwww1234","평점4점","선택은 언제나 인생에서 중요하다."
"whizzer7","평점5점","정말 너무너무 재밌게 읽었습니다"
"판도라의상자","평점4점","영화로 먼저 만나고 책으로 접했네여!! 다음 작품도 기대"
"purplerainji","평점5점","처음엔 잘 안읽히는데 중간부터 재미있어요"
"라희","평점5점","파이팅 !"
"쯔끄맘","평점5점","밤을 꼬박 지새워 아침이 피곤했던 소설"
"코가긴코끼리","평점5점","최고다!!!!"
"jua7103","평점5점","술술잘읽힘"
"블루베리","평점5점","7년의 밤 기대합니다. 너무 재밌게 보고 있어요~~"
"dkdl321","평점5점","좋아요~~"
"dkdl321","평점5점","좋아요~~"
"권이언","평점5점","영화 개봉하면 바로 볼 예정이에요!! 진짜 재밌어요"
"littleorange","평점5점","읽으며 무서웠지만 다음 내용이 궁금해 끝까지 읽을 수 밖에 없어요~~"
"clcl7","평점4점","긴장감 있는 책입니다!"
"은혜의증인","평점4점","좋아요"
"은혜의증인","평점4점","좋아요"
"무비스타","평점5점","몰입감 최고 입니다,"
"도서관","평점5점","말이 필요없는 최고의 작품"
"아룸잌ㅋ","평점4점","재밌게 보려구요"
"찻잎미경","평점5점","3월28일 영화개봉. 관람 후 다시 또 책을 읽어야겠어요"
"방울이니","평점4점","영화로  나온다고 해서 구입"
"milkywayeh","평점5점","몰입도가 엄청난 소설이네요."
"wkhix","평점5점","추천받아서 구입했어요"
"0116261215","평점5점","계속읽고싶어지는책"
"saida3323","평점5점","내내 심장 쫄깃 ㅋ"
