"id_list","star_list","txt_list"
"훈훈한인생(skmj****)","10","진짜배우 김래원이 돌아왔구나??  "
"우즈베이커리포항(wooz****)","10","관람객김래원 연기는 진쨔 최고 꼭봐야함 ㅠ 영화 넘 잼써요  "
"유니봄(jmbo****)","10","정치나 지역 영화아닙니다오락영화에요 잼나요 ㅋ  "
"skikiki(seai****)","10","관람객예상치 못한 재미가 있구만~ 엔딩에서 완전 빵터졌음!!  "
"킨토(choi****)","10","관람객김래원은 진짜 연기로는 못 까는 듯,, 초반에 웃기다가 막판에는 울컥하기 까지함  진짜 잘함  "
"hunt****","10","솔찍히 극한직업보다 더 재밌네  "
"상민상민(rlad****)","10","관람객진짜 재밌는 영화 ㅠㅠ 오랜만에 오락 영화를 본 느낌!! 영화 끝나도 일어나면 안됌ㅋㅋㅋㅋ  "
"mi32****","10","관람객방금 보고 나왔음 액션, 멜로, 코미디 다 있다 오랜만에 유쾌하게 즐긴 영화  "
"odio(lshu****)","10","관람객너무 재밌는 영홬ㅋㅋㅋ 김래원이 너무 멋있게 나옴 ㅠ  "
"아이고조아(joou****)","10","역대급 쿠키영상이닼ㅋㅋ코미디,로맨스, 액션 여러 요소가 들어가 있는영화다!! 감독의 센스가 느껴지는 영화닼ㅋㅋㅋ  "
"dado****","1","개연성이라곤 없음,, 웹툰본사람들은 이해가될런지몰겠지만, 뜬금없이사랑에 빠지고 뜬금없이 조폭그만두겠다는김래원, 아무갈등없이 따르는부하들, 뜬금없는후계자인정, 뜬금없이 국회의원진출 ,뜬금없이 합당, 뜬금없는 선거이김,,보는내내 한숨쉬었다  "
"스(zoof****)","10","관람객오태식과 범죄도시의 만남 ㅠㅠ 존잼  계절과 잘 어울리는 시원하고 유쾌한 영화  "
"연비(kkid****)","8","관람객돈아깝다고 생각들지는 않았습니다. 저는 재미있게봄  "
"에스트로(xwib****)","9","기대안하고 봣는데 잼잇엇어요~ 까메오들이 짱짱하네요 ㅎㅎ  "
"김선동(9208****)","10","이 차가 작은차가아닌딬ㅋㅋㅋㅋ  "
"oneofeach(natu****)","1","식상한 전개... 그리고 원진아 어색함  "
"qwerw(jkpc****)","9","의외에서 갑자기 빵 터짐ㅋㅋ 마무리까지 너무 좋았어요ㅋㅋ  "
"BLACK(mylo****)","10","기대없이 봤는데 개꿀잼  "
"Raven(yyj0****)","10","관람객김래원 존잘존멋 김래원만 봐도 후회 없는 영화  "
"김단비(chic****)","2","진짜 이게 재밌다고..?  "
"eaetej23(zxcc****)","1","기존 영화들의 모든 설정을 모아만든 진부함의 극치  "
